co_url,display,active,address,address_2,can_feature,city,company_id,description,facebook_url,id,indirectory,lastfeaturedate,linkedin_url,logo,company_name,company_name_2,overview,phone_number,plow_fit_url,shortname,slug,state,twitter_url,website,youtube_url,ytp_list_id,youtube_video_id,zip_code
,0,0,,,1,,,,,1,0,,,,American Sno-Plows,,,,,,american-sno-plows,,,,,,,
http://articles.snowplownews.com/page/arctic,0,0,22763 S Center Rd,,1,Frankfort,33,"<br /> <p>The Sectional Sno-Pusher is compatible with several types of equipment including wheel loaders backhoes, skid steers, compact loaders and tractors. The Sectional is ideal for construction and landscape contractors looking for a productive solution for inactive equipment during the winter months, as well as established snow and ice control professionals.</p> <p>The Arctic Sectional is simply the most efficient, effective all encompassing pusher on the market today. From sidewalks to parking lots. If you want to take your snow contracting business to a level the competition can't match.</p> <p>Sectional Sno-Pusher, a division of Arctic Snow and Ice Products Bradley IL, offers three lines of unique snow pushers, the HD, LD and CD models. They are compatible with wheel loaders, back-hoes, skid steers, compact loaders, and tractors.</p> <p>Incorporating several unique features, the Sectional pushers increase snow removal efficiency and reduce fuel costs. The patented steel moldboard design is made of 32, 30 and 24-inch-wide individual sections depending on the model, each featuring spring-loaded trip edges. The exclusive moldboard design combines the precision of a small plow with the capacity of a large pusher.</p> <p>The separate sections move independently of one another, allowing the unit to contour to the surface and scrape snow and ice out of dips and recessions, all while moving over raised objects. This enhances plowing efficiency and protects operators from impact injuries and minimizes property damage.</p> <p>Each moldboard section features an AR-400 hardened-steel trip cutting edge, designed to scrape snow and ice down to the pavement. In addition to removing compacted ice and snow, the cutting edge's sectional design is also more economical. On a typical one-piece moldboard plow or pusher, the entire cutting edge must be replaced when damaged. In the event that a Sectional Sno-Pusher's cutting edge is damaged, only the individual section needs to be replaced.</p> <p>The pusher operates independently of the machine and automatically adjusts to the pavement grade, resulting in fewer missed areas and less follow-up plowing. Additionally, the patented Slip Hitch ensures all four tires remain on the pavement at all times. As a result, the machine is able to achieve full traction, and eliminate drag and loss of horsepower. </p> <p>Our customers have reported salt savings as high as 50% and fuel savings exceeding 30% easily out performing any other pusher on the market today and designed for equipment weighing 5,000 to 60,000 the Sectional pushers are available to accommodate all your snow removal needs.</p>",https://www.facebook.com/arcticsnowandice/?ref=aymt_homepage_panel,2,1,00:00.0,,Arctic-Logo-Products-2006.jpg,Arctic Equipment Mfg Co,,"<p>Three decades ago, in 1978, Arctic Snow and Ice Control Founder Randy Strait began plowing professionally with a Western snowplow fitted onto a 1977 Chevy Blazer. One year later, during a record breaking snow season in Chicagoland, Strait would establish himself as a dependable snow removal service, and set him on the path to creating Arctic Snow and Ice Control.</p> <p>Thirty years later, Arctic is a multi-million dollar company with over 300 team members dedicated to the business of snow and ice control. The company handles clients in the retail and commercial industries and provides each one with the same dedication Randy Strait demonstrated thirty years ago. Each operator at the company follows a strict guideline to ensure every customer receives professional and efficient plowing. Taking the time to do the job the right way is one of the company's fundamental philosophies. At Arctic Snow and Ice Control, snow is not an afterthought, it is our only thought.</p>",(815) 469-8001,,Arctic,arctic,IL,https://twitter.com/ArcticSnoIceInc,www.arcticsnowandice.com,http://www.youtube.com/user/ArcticSnowandIceInc,PLM1lIdVLPCXWCJadvM7NBNecMZELE3g9i,,60423
,1,1,,,1,,,,,3,0,,,,Blizzard Corporation,,,,http://www.blizzardplows.com/bd/company/contact.php,Blizzard,blizzard,,,,,,,
http://articles.snowplownews.com/page/bonnell-industries,0,0,,,1,,1,"<p>Bonnell Industries, Inc. is a Midwest manufacturer of truck equipment located in Dixon, Illinois. Through a nationwide distributor network, Bonnell is also a major supplier of snowplows and spreaders for municipalities throughout the country.</p> <p><span>The current operation includes 46,000-sq. ft. of floor space and is one of the most modern facilities in the industry.</span></p> <p><b>SPN Interview of Joe Bonnell, President of Bonnell Manufacturing:</b></p> <p> <div class=""auto-resizable-iframe""> <div> <iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/U5dvoovpHgc"" frameborder=""0"" allowfullscreen=""""></iframe> </div></div> </p> <p><b><br class=""Apple-interchange-newline""> Something Unique - Used Inventories online:</b></p> <p>&nbsp;Anyone can take a look at their used inventory that comes in off of trade at&nbsp;<a href=""http://bonnellusedequipment.com/"">http://bonnellusedequipment.com/#</a>.&nbsp; All used products are reviewed and deemed fit for resale.&nbsp; If any substantial deficiencies exist, they are repaired and ready for the road.</p> <p><b>Something else unique - Product Configurator:</b></p> <p>This allows a municipality to spec out a truck complete with the needed Bonnell attachments while keeping the truck within federal guidelines.&nbsp; This can be found at this location:&nbsp;<a href=""http://www.bonnellindustries.com/configure/"">http://www.bonnellindustries.com/configure/</a></p> <p><b>Bonnell Product Lines:</b></p> <ul> <li>4x4 Truck Plows</li> <li>Box Plows</li> <li>Debris Collection Systems</li> <li>Municipal Plows</li> <li>Municipal Spreaders</li> <li>Municipal Work Supplies</li> <li>Receiver Spreaders</li> <li>Road Grading Machinery</li> <li>Road Maintenance Equipment</li> <li>Skid Steer plows and spreaders</li> <li>Truck Equipment</li> <li>Used Equipment</li> <li>V-Box Spreaders</li> </ul>",,4,1,,,,Bonnell Industries,,,,http://www.bonnellindustries.com/configure/,Bonnell,bonnell,,,,,,,
http://articles.snowplownews.com/page/the-boss,1,1,P.O. Box 787 2010,The Boss Way,1,Iron Mountain,4,"<h3>Facts</h3> <li>One of the fastest growing brands in the snow removal category, the BOSS continues to ""Push the Edge"" of innovation and design. BOSS products focus on the professional snow removal contractor, with an emphasis in durability, ease-of-use and overall reliability.</li> <li>BOSS features a growing selection of snow removal products including pickup truck plows, spreaders, box plows and UTV plows.</li> <li>BOSS is the exclusive sponsor of SnowCare for Troops, a unique causal campaign which pairs volunteers that own snowplows and military families that need help removing snow.</li> <li>Professional Grade Pickup Truck Plows, Box Plows, UTV Plows for Kawasaki, Polaris, Kubota and John Deere, Tailgate Spreaders.</li> </ul>",http://www.facebook.com/TheBossSnowplow,5,1,00:00.0,,boss1.jpg,Boss Snowplow,,"<p>Northern Star Industries, Inc. acquired THE BOSS Snowplow in 1985 and quickly became an industry leader and innovator. Using new technology and state-of-the-art engineering and manufacturing, the company has pioneered a number of revolutionary features and equipment additions for snowplows, setting new standards within the industry. THE BOSS Snowplow is designed and manufactured in Michigan's Upper Peninsula where winter and deep snow are a way of life. All of THE BOSS Snowplow products are designed, manufactured and put to the ultimate test at the company's ISO 9001:2008 registered facility.</p>",(800) 286-4155,https://www.bossplow.com/en/product-selector,Boss,boss,MI,http://twitter.com/bosssnowplows,www.bossplow.com,http://www.youtube.com/user/thebossplows,PLM1lIdVLPCXWVRJGBzPxHiFoB5PZB5E_x,,49801
,0,0,,,1,,,,,6,0,,,,W Cote & Fils Ltee,,,,,,w-cpte-fils-ltee,,,,,,,
,0,0,,,1,,,,,7,0,,,,Everest Equipment Co,,,,,,everest,,,,,,,
http://articles.snowplownews.com/page/fisher,1,1,50 Gordon Drive,,1,Rockland,12,"<h3>Facts</h3> <ul> <li>Fisher plows have been made predominantly in Maine for over 60 years.</li> <li>The Fisher brand is a member of the Douglas Dynamics group of companies. Sister brands include Western and Blizzard plows and spreaders.</li> <li>Douglas Dynamics is the only publicly traded company in the snow and ice control market. It trades under the symbol PLOW on the NYSE</li> <li>The Fisher brand is dominant in the New England states and Quebec.</li> <li>Fisher plows and spreaders can be found throughout North America and Europe.</li> <li>Fisher Engineering believes it is important to proactively pursue environmentally responsible policies and procedures, not only internally but also throughout our extended supply chain</li> </ul> <h3>Product Lines:</h3> <p><b>Snow Removal Equipment</b> - Whether you’re a homeowner, small business owner, professional snowplower or municipality, Fisher Engineering has a snowplow to fit your needs. We offer snow plows that are built to withstand the rigors of any commercial application as well as personal snow plows for smaller and lighter four-wheel-drive vehicles.</p> <ul> <li>Homesteader™ Personal Plow – Clear your driveway the easy way, when and how you want</li> <li>HT Series™ Snow Plow – A full-size, full-featured snow plow made for today’s lighter half-ton pickups SD Series Snow Plow – High-performance snow plowing machine for four-wheel drive vehicles</li> <li>HD Series Snow Plow – Rugged to withstand the rigors of any and all commercial applications</li> <li>XBLADE™ Snowplow – Exclusive X-Bracing and a premium stainless steel moldboard for the commercial snow plower</li> <li>XtremeV™ V-Plow – Combines the best features of our rugged XBLADE and the popular EZ-V® V-plow</li> <li>XV2™ V-Plow – A new standard in V-plow performance, with extreme flared wings and Fisher’s proven trip edge design</li> <li>XLS™ Expandable Length Snowplow – From an 8-foot retracted straight blade width, to the 10-foot expanded width, to a scoop of nearly 9 feet, and a more effective windrowing configuration</li> <li>MC Series Snowplow – For vehicles in the 17,000-27,500 GVW range</li> <li>Skid-Steer Plows – The XBLADE and HD Series snowplows available with a universal skid-steer loader mounting plate</li> <li>STORM BOXX™ Pusher Plow – For the really big jobs</li> </ul> <p><b>Ice Control Equipment</b> – Fisher Engineering offers a wide range of tailgate and hopper salt and sand spreaders for the professional snow plower.</p> <ul> <li>POLY-CASTER™ Hopper Spreader – Available in 3 sizes, this durable one-piece poly construction hopper offers the ability to precisely match material delivery and spread pattern to surface conditions</li> <li>PRO-CASTER™ Hopper Spreader – Precise ice control performance available in 8’ and 10’ body lengths in either stainless steel or powder-coated steel</li> <li>SPEED-CASTER™ Tailgate Spreader – 2 stage delivery system, can handle all types of de-icing material, even wet sand</li> <li>Low Profile Tailgate Spreaders – Features a low profile design which provides an unobstructed rear view from the cab</li> <li>POLY-CASTER™ LT Hopper Spreader - ½ Cubic Yard Poly Hopper spreaders for UTVs and pickups</li> <li>WB-100B & WB-160D Walk-Behind Spreaders – Assure your ice control material is applied accurately and evenly, no matter the area</li> </ul> <h3>Awards</h3> <p>Douglas Dynamics was voted as one of the Top 100 Workplaces in Milwaukee for four consecutive years (2010, 2011, 2012 and 2013)</p>",http://www.facebook.com/FisherPlows,8,1,00:00.0,http://www.linkedin.com/company/fisher-engineering,fisher1.jpg,Fisher Engineering,,"<p>Delivering Quality and Service to the Plowing Industry for over 60 years, uur plowing equipment is known for reliability and strength, especially among commercial snow plow professionals. Our focus is on our customers; we work hard to manufacture innovative products that give our customers an edge in the market. Timely service to our customers has always been, and will continue to be, a hallmark of our company.</p> <p>Whether you're a homeowner, small business owner, professional snowplower or municipality, FISHER has a snowplow to fit your needs. We offer snowplows that are built to withstand the rigors of any commercial application as well as personal snowplows for smaller and lighter four-wheel drive vehicles. To help you find the perfect plow for your truck use our eMatch system (link directly to eMatch). Whatever your snow removal needs, FISHER has the right snow equipment to help you get the job done.</p>",(414) 259-5333,http://ematch.fisherplows.com/vehinfo.asp,Fisher,fisher,ME,http://twitter.com/FisherPlows,www.fisherplows.com,http://www.youtube.com/user/fisherplows,PLM1lIdVLPCXU7orD6P6KJWQygbitoLqBx,,04841-2139
,0,0,,,1,,,,,9,0,,,,Flink Company,,,,,,flink,,,,,,,
http://articles.snowplownews.com/page/henderson,0,0,1085 S 3rd St.,,1,Manchester,13,"<h3>Facts</h3> <ul> <li>Unlike most manufacturers, Henderson offers many custom features and benefits in each product category. Henderson's team-based product development process has helped position it as the leader in product development and innovation.</li> <li>Henderson also participates in product research and product development projects for select government agencies.</li> <li>Henderson Products, Inc. targets its products to state and municipal markets as well as private contractors nationwide in partnership with a growing list of the best truck equipment dealerships who share Henderson's vision and commitment to quality &amp; service.</li> </ul>",,10,1,00:00.0,,henderson.jpg,Henderson Manufacturing,,"<p>Henderson Products, Inc. has earned a national reputation as a customer oriented company, manufacturing a broad range of high quality truck equipment products for the municipal and contractor markets. In 1946 Henderson Manufacturing was founded by Ollie Henderson in Cedar Rapids, IA. Then in 1958 Ollie moved Henderson's operations to a new 55,000 sq. ft. facility in Manchester, IA. The company's products include a wide range of dump bodies, snow plows, sand & salt spreaders, anti-ice systems, de-icing systems and special purpose truck bodies for both heavy-duty and medium-duty trucks. Henderson's commitment to customers has earned it the reputation as ""The Dependable Ones"".</p> <p>Henderson's broad customer base and its extensive dealer network have both provided essential input in each product development project. Regional preferences have been taken into account so that performance issues, desired features, and all necessary functions are satisfied. This level of customer commitment has helped position Henderson as a preferred source and the recognized ""package"" supplier of snow and ice control equipment. In fact, Henderson is the only truck equipment manufacturer capable of offering a complete snow truck package. Today Henderson packages are sold in each of the nation's snow belt regions.</p>",(563) 927-2828,,Henderson,henderson,IA,,www.hendersonproducts.com,http://www.youtube.com/user/hendersonmfg/videos,PLM1lIdVLPCXWa72vqUOp_FcYSKNglVg_D,,52057
