ID,MFG ID,Title,Current Model,Plow Type,Blade Width Expanded,Blade Width Retracted,Blade Width Scoop,Angled Width Expanded,Angled Width Retracted,Angled Width Scoop,Blade Height Min,Blade Height Max,Blade Gauge,Blade Thickness,Weight,Blade Material,Plowshoes,Blade Cutting Edge Thickness,Blade Cutting Edge Height,Wing Cutting Edge Thickness,Wing Cutting Edge Height,Vertical Ribs,Diagonal Ribs,Trip Feature,Trip Springs,Trip Spring Type,Angle Cylinder Diameter,Angle Cylinder Length,Angle Cylinder Type,Lift Cylinder Diameter,Lift Cylinder Length,Lift Cylinder Type,Controls Style,Controls Type,Mount,Snow Deflector,Snow Catcher,Warranty,Notes,Image,Down Pressure,Paint,Primer,Closed Loop Electric,Led Lights,Price,Moving Capacity,SPN Rank,Youtube Video ID,PDF
11,18,"22-7'-6""",TRUE,straight,90,0,0,78,0,0,22,22,,0.125,285,poly,optional,0.250,4.5,,,4,2,,2,,,,,,,,both,both,Drive In,,,2 Years,,plows_snoway_22-7-6_2015.jpg,Available,Powder Coat,Yes,Yes,No,4,1,59,V9mntlAY85M,http://snowplownews.com/cm/pdfs/plowBrochure_snoway_22_20141215.pdf
18,5," V steel 7'6""",FALSE,vplow,90,81,76,78,0,0,26.5,26.5,11,,794,steel,optional,0.500,6,,,6,0,full blade,4,,1.5,10,single acting,,,,both,wired,RT2,optional,Molded Rubber,1 year parts and labor,SmartLock hydraulic angle cylinders optional - lock blade in place for back-dragging,default_boss_vee-plow.png,No,Powder Coat,No,No,optional,5,4,48,,
19,5,"V steel 8'2"" ",FALSE,vplow,98,86,84,85,0,0,29.5,29.5,11,,860,steel,included,0.500,6,,,6,0,full blade,4,,1.5,10,single acting,,,,both,wired,RT2,optional,Molded Rubber,1 year parts and labor,SmartLock hydraulic angle cylinders optional - lock blade in place for back-dragging,default_boss_vee-plow.png,No,Powder Coat,No,No,optional,5,5,51,,
20,5," V steel 9'2""",FALSE,vplow,110,96,95,95,0,0,29.5,29.5,11,,928,steel,included,0.500,6,,,8,0,full blade,4,,1.5,10,single acting,,,,both,wired,RT2,optional,Molded Rubber,1 year parts and labor,SmartLock hydraulic angle cylinders optional - lock blade in place for back-dragging,default_boss_vee-plow.png,No,Powder Coat,No,No,optional,5,5,51,,
21,5,"V steel 10'0"" ",FALSE,vplow,120,111,109,110,0,0,34.5,34.5,11,,1250,steel,included,0.500,6,,,8,2,full blade,6,,1.5,10,single acting,,,,both,wired,RT2,optional,Molded Rubber,1 year parts and labor,SmartLock hydraulic angle cylinders optional - lock blade in place for back-dragging,default_boss_vee-plow.png,No,Powder Coat,No,No,optional,5,5,56,,
23,5," V poly 8'2""",FALSE,vplow,98,86,84,85,0,0,30.5,30.5,,0.375,890,poly,optional,0.500,6,,,6,2,full blade,4,extension,1.5,10,single acting,2,10,,both,wired,SmartHitch 2,optional,Molded Rubber,1 year parts and labor,,default_boss_vee-plow.png,No,Powder Coat,No,No,optional,5,5,52,,
24,5,"V poly 9'2"" ",FALSE,vplow,110,96,95,95,0,0,30.5,30.5,,0.375,956,poly,optional,0.500,6,,,8,2,full blade,4,,1.5,10,single acting,,,,both,wired,poly Power-V XT,optional,Molded Rubber,1 year parts and labor,,default_boss_vee-plow.png,No,Powder Coat,No,No,optional,5,5,52,,
70,18,Revolution HD,TRUE,expandable,120,101,0,107,0,0,29,29,12,,865,steel,optional,0.500,6, 1/2,6,6,0,full blade,2,,,,single acting,,,,both,both,Drive In,optional,steel,2 years,,plows_snoway_revolutionHD_2015.jpg,Available,Powder Coat,Yes,Yes,No,6,5,86,8TfnLHTxPjg,http://snowplownews.com/cm/pdfs/plowBrochure_snoway_revHD_20141215.pdf
72,18,"29VHD-8'-6""",TRUE,vplow,102,0,95,0,0,0,29,29,,,840,steel,optional,0.500,6,,,6,0,full blade,2,,,,,,,,both,both,Drive In,optional,,2 Years,,plows_snoway_29-8-6-VHD_2015.jpg,Available,Powder Coat,Yes,Yes,No,5,4,71,A0hseSqPmHs,http://snowplownews.com/cm/pdfs/plowBrochure_snoway_29vhd_20141215.pdf
73,18,"29R-8'-10""",TRUE,expandable,106,0,0,93,0,0,29,29,,,705,steel,optional,0.375,6,,,7,0,full blade,2,,,,,,,,both,both,Drive In,optional,,2 years,,plows_snoway_29-8-10-R_2015.jpg,Available,Powder Coat,Yes,Yes,No,6,5,86,9dRzRjXCsHM,http://snowplownews.com/cm/pdfs/plowBrochure_snoway_29r_20141215.pdf
