cfIdx,id,size
420,137,1/2 Ton
421,137,3/4 Ton
422,137,1 Ton
435,138,1/2 Ton
436,138,3/4 Ton
437,138,1 Ton
438,198,3/4 Ton
439,198,1 Ton
443,200,1/2 Ton
444,200,3/4 Ton
445,200,1 Ton
449,202,1/2 Ton
450,202,3/4 Ton
451,202,1 Ton
458,23,3/4 Ton
459,23,1 Ton
462,191,3/4 Ton
463,191,1 Ton
464,210,1/2 Ton
465,210,3/4 Ton
466,210,1 Ton
469,192,3/4 Ton
470,192,1 Ton
471,211,1/2 Ton
472,211,3/4 Ton
473,211,1 Ton
478,186,1/2 Ton
479,186,3/4 Ton
480,186,1 Ton
485,187,1/2 Ton
486,187,3/4 Ton
487,187,1 Ton
488,189,3/4 Ton
489,189,1 Ton
492,179,3/4 Ton
493,179,1 Ton
494,188,1/2 Ton
495,188,3/4 Ton
496,188,1 Ton
497,190,1/2 Ton
498,190,3/4 Ton
499,190,1 Ton
505,182,3/4 Ton
506,182,1 Ton
1396,86,1/2 Ton
1397,84,1/2 Ton
1416,81,1/2 Ton
1417,81,3/4 Ton
1418,81,1 Ton
1521,185,1/2 Ton
1522,185,3/4 Ton
1525,183,Class 4
1526,183,Class 5
1527,183,Class 6
1833,316,3/4 Ton
1834,316,1 Ton
1835,317,3/4 Ton
1836,317,1 Ton
1837,318,1 Ton
1838,318,Class 4
1839,319,Class 4
1840,319,Class 5
1841,294,< 1/2 Ton
1842,295,< 1/2 Ton
1843,296,1/2 Ton
1844,297,1/2 Ton
1845,300,3/4 Ton
1846,302,3/4 Ton
1847,302,1 Ton
1848,304,1 Ton
1849,304,Class 4
1850,306,Class 4
1851,306,Class 5
1852,298,1/2 Ton
1853,301,3/4 Ton
1854,301,1 Ton
1855,303,3/4 Ton
1856,303,1 Ton
1857,305,1 Ton
1858,305,Class 4
1859,307,Class 4
1860,307,Class 5
1861,299,1/2 Ton
1862,310,Class 5
1863,310,Class 6
1864,308,1 Ton
1865,309,Class 4
1866,309,Class 5
1867,312,Class 6
1868,313,Class 6
1869,314,Class 6
1870,315,Class 6
1871,311,Class 6
1872,321,3/4 Ton
1873,321,1 Ton
1874,322,1 Ton
1875,322,Class 4
1876,322,Class 5
1877,320,1/2 Ton
1878,325,Class 5
1879,325,Class 6
1880,323,3/4 Ton
1881,323,1 Ton
1882,324,1 Ton
1883,328,Class 5
1884,328,Class 6
1885,326,3/4 Ton
1886,326,1 Ton
1887,326,Class 4
1888,327,1 Ton
1889,327,Class 5
1890,75,1/2 Ton
1894,70,3/4 Ton
1895,70,1 Ton
1896,70,Class 4
1897,70,Class 5
1898,215,< 1/2 Ton
1899,11,< 1/2 Ton
1900,82,1/2 Ton
1901,76,1/2 Ton
1902,80,1/2 Ton
1903,80,3/4 Ton
1904,80,1 Ton
1905,218,1/2 Ton
1906,218,3/4 Ton
1907,218,1 Ton
1908,217,1/2 Ton
1909,217,3/4 Ton
1910,217,1 Ton
1911,216,1/2 Ton
1912,216,3/4 Ton
1913,216,1 Ton
1914,219,3/4 Ton
1915,219,1 Ton
1916,219,Class 4
1917,219,Class 5
1918,221,3/4 Ton
1919,221,1 Ton
1920,221,Class 4
1921,221,Class 5
1922,220,3/4 Ton
1923,220,1 Ton
1924,220,Class 4
1925,220,Class 5
1926,72,3/4 Ton
1927,72,1 Ton
1928,72,Class 4
1929,72,Class 5
1933,73,1/2 Ton
1934,73,3/4 Ton
1935,73,1 Ton
1969,111,1 Ton
1970,111,Class 4
1971,112,1 Ton
1972,112,Class 4
1973,113,1/2 Ton
1974,113,3/4 Ton
1975,114,3/4 Ton
1976,115,3/4 Ton
1977,116,< 1/2 Ton
1978,117,1/2 Ton
1979,108,3/4 Ton
1980,110,1 Ton
1981,104,3/4 Ton
1982,107,1 Ton
1983,95,3/4 Ton
1984,95,1 Ton
1985,101,3/4 Ton
1986,101,1 Ton
1987,102,3/4 Ton
1988,102,1 Ton
1989,103,1 Ton
1998,193,Class 4
1999,193,Class 5
2000,193,Class 6
2001,134,< 1/2 Ton
2002,134,1/2 Ton
2003,135,< 1/2 Ton
2004,135,1/2 Ton
2005,136,1/2 Ton
